Question,Category,Answer,Sources,Latency (seconds)
How does Ayushman Bharat improve healthcare access?,policy,"Ayushman Bharat aims to provide financial protection for secondary and tertiary care to about 40% of India’s households. Its success and affordability rests substantially on the effectiveness of provision of Comprehensive Primary Health Care through HWCs. Together, the two components of Ayushman Bharat will enable the realization of the aspiration for Universal Health Coverage. The launch of these Operational Guidelines for Comprehensive Primary Health Care through Health and Wellness Centers marks a major milestone in public health in India.

Supporting Evidence:
[Source: Ayushman_Bharat_Guidelines.pdf] “aims to provide financial protection for secondary and tertiary care to about 40% of India’s households.”, “[Source: Ayushman_Bharat_Guidelines.pdf] envisions “attainment of universal access to equitable, affordable and quality health care which is accountable and responsive to the needs of people”., “[Source: Ayushman_Bharat_Guidelines.pdf] transformation of existing Sub Health Centres and Primary Health Centres to deliver Comprehensive Primary Health Care”

Sources Used:
Ayushman_Bharat_Guidelines.pdf",Ayushman_Bharat_Guidelines.pdf,8.291
What policy measures are recommended to strengthen healthcare infrastructure?,policy,"Answer:
The policy recommends closing infrastructure and human resources/skill gaps in districts and blocks which have wider gaps for development of infrastructure and deployment of additional human resources. Additionally, the policy suggests State Directorates to be strengthened by HR policies.

Supporting Evidence:
[Source: National_Health_Policy_2017.pdf] “The Policy duly acknowledges the roadmap of the 12th Five Year Plan for managing human resources for health. The policy initiatives aim for measurable improvements in quality of care. Districts and blocks which have wider gaps for development of infrastructure and deployment of additional human resources would receive focus.”
[Source: National_Health_Policy_2017.pdf] “The policy suggests State Directorates to be strengthened by HR policies, central to which is the issue that those from a public health management perspective”

Sources Used:
National_Health_Policy_2017.pdf",National_Health_Policy_2017.pdf; Ayushman_Bharat_Guidelines.pdf,7.8
What are the major healthcare infrastructure challenges in India?,infrastructure,The available healthcare documents do not contain sufficient evidence to answer this question.,2017_India_State_Level_Disease_Burden_Initiative_Full_Report.pdf; Health_Ministry_Annual_Report_25-26.pdf; National_Health_Policy_2017.pdf; Latest_Union_Budget_Health_Section.pdf; rhs_2020.csv,5.061
How can healthcare infrastructure be improved in rural areas?,infrastructure,The available healthcare documents do not contain sufficient evidence to answer this question.,Health_Ministry_Annual_Report_25-26.pdf; National_Health_Policy_2017.pdf; Ayushman_Bharat_Guidelines.pdf; NFHS-5_National_Report.pdf,5.124
What challenges exist in tribal healthcare infrastructure?,infrastructure,"Answer:
Several challenges exist within tribal healthcare infrastructure, as highlighted across the retrieved documents. These include logistical difficulties related to sample transport in hilly and forested terrain, nutritional vulnerabilities and cultural barriers impacting healthcare access, gaps in equipment, manpower, and referral systems identified during MMU evaluations, and a general lack of resources compared to all-India averages. Specifically, there were significant gaps in infrastructure development between tribal areas and other regions (a 67.6% increase in health facilities in tribal area compared to 20.4% at the all-India level). Furthermore, the ongoing need for relaxed norms due to geographical isolation and distance from primary healthcare centers remains a persistent issue. The availability of TB Units is significantly lower in tribal areas compared to general population (1 TB Unit for every 2 lakhs general population).

Supporting Evidence:
•	“Found major gaps in equipment, manpower, and referral systems.” [Source: RHS_2020.csv]
•	“Sample transport systems remain a logistical challenge in hilly and forested terrain.” [Source: Health_Ministry_Annual_Report_25-26.pdf]
•	""Nutritional support and culturally sensitive healthcare especially for the underserved and marginalized groups in rural and tribal areas."" [Source: Health_Ministry_Annual_Report_25-26.pdf]
•	“Between 2005 and 2023, health facilities in tribal area saw a 67.6 per cent increase, compared to 20.4% increase at the all-India level.” [Source: Health_Ministry_Annual_Report_25-26.pdf]
•	“Every TB Unit is supported with a programme supervisory staff for management of diagnosis and treatment services in the area.” [Source: Health_Ministry_Annual_Report_25-26.pdf]
•	“Despite these efforts, geographical isolation…”[Source: Health_Ministry_Annual_Report_25-26.pdf]
•	""The population norms for setting up Sub-health Centres (SHC), Primary Health Centres (PHC), and Community Health Centres (CHC) are significantly relaxed in tribal/hilly areas” [Source: Health_Ministry_Annual_Report_25-26.pdf]

Sources Used:
•	rhs_2020.csv, RHS - Rural Health Statistics
•	Health_Ministry_Annual_Report_25-26.pdf
•	NFHS Reports – Table 11.21 Problems in accessing health care
•	National_Health_Policy_2017.pdf",Health_Ministry_Annual_Report_25-26.pdf; National_Health_Policy_2017.pdf; 2017_India_State_Level_Disease_Burden_Initiative_Full_Report.pdf; Latest_Union_Budget_Health_Section.pdf; NFHS-5_National_Report.pdf,13.638
What role does PM-ABHIM play in infrastructure development?,infrastructure,"Answer:
The Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PM-ABHIM) plays a key role in infrastructure development by setting up 150-bedded Critical Care Hospital Blocks (CCHB) in six new AIIMS across the country, including those in Bhopal, Bhubaneswar, Jodhpur, Patna, Rishikesh, and Raipur.

Supporting Evidence:
[Source: Health_Ministry_Annual_Report_25-26.pdf]
“Under Pradhan Mantri - Ayushman Bharat Health Infrastructure Mission (PM-ABHIM), setting up of 150-bedded Critical Care Hospital Block (CCHB) has been approved in each of 6 new AIIMS across the country, viz. AIIMS, Bhopal (Madhya Pradesh), AIIMS, Bhubaneswar (Odisha), AIIMS, Jodhpur (Rajasthan), AIIMS, Patna (Bihar), AIIMS, Rishikesh (Uttarakhand) and AIIMS, Raipur (Chhattisgarh) as well as Institute of Medical”

Sources Used:
[Source: Health_Ministry_Annual_Report_25-26.pdf]",Health_Ministry_Annual_Report_25-26.pdf; Latest_Union_Budget_Health_Section.pdf,8.615
What healthcare facilities have expanded in recent years?,infrastructure,"Answer:
Several healthcare facilities have expanded in recent years. The Postgraduate Institute of Medical Education and Research (PGIMER) has expanded with the New OPD Block, Advanced Pediatric Centre, New Emergency Block, Advanced Eye Centre, Drug De-addiction Centre, Advanced Cardiac Centre, and Advanced Trauma Centre. Telangana and Kerala have strengthened their healthcare infrastructure with the commencement of services at the renovated Emergency Medicine and Trauma Care Block. The institute also inaugurated a state-of-the-art Virtual Clinical Anatomy Laboratory and a modern Burns OPD Block. A new state of art building was inaugurated on 8th January, 2024. The New Emergency Block (500 beds) and Super Specialty Block (with 430+125 beds), was inaugurated on 29.06.2018 and New SIC 2024 (135 beds) by the Hon'ble Prime Minister.

Supporting Evidence:
[Source: Health_Ministry_Annual_Report_25-26.pdf] – Patient Care Services, [Source: Health_Ministry_Annual_Report_25-26.pdf] - Telangana, and Kerala, [Source: Health_Ministry_Annual_Report_25-26.pdf] - Inauguration of New Facilities, [Source: Health_Ministry_Annual_Report_25-26.pdf] - New Emergency Block (500 beds) and Super Specialty Block (with 430+125 beds), [Source: Health_Ministry_Annual_Report_25-26.pdf] - Inauguration of New Facilities

Sources Used:
Health_Ministry_Annual_Report_25-26.pdf",Health_Ministry_Annual_Report_25-26.pdf; Ayushman_Bharat_Guidelines.pdf,10.923
How should health budgets be allocated according to disease burden?,budget,"Answer:
The findings in this report of the India State-Level Disease Burden Initiative can be used for planning of state health budgets, prioritisation of interventions relevant to each state, informing the government’s Health Assurance Mission in each state.

Supporting Evidence:
[Source: 2017_India_State_Level_Disease_Burden_Initiative_Full_Report.pdf]
state spending on health is a good investment in human capital. The magnitude of health spending and how this is utilised could benefit from the specific disease burden and risk profile of each state.
[Source: 2017_India_State_Level_Disease_Burden_Initiative_Full_Report.pdf]
The findings in this report…could be used for planning of state health budgets, prioritisation of interventions relevant to each state…

Sources Used:
2017_India_State_Level_Disease_Burden_Initiative_Full_Report.pdf",2017_India_State_Level_Disease_Burden_Initiative_Full_Report.pdf,10.42
Why is healthcare spending considered an investment in human capital?,budget,"State spending on health is a good investment in human capital. The magnitude of health spending and how this is utilised could benefit from the specific disease burden and risk profile of each state.
Supporting Evidence:
[Source: rhs_2020.csv]
Improving human resources for health
Suitable human resources for addressing the evolving disease burden
Sources Used:
rhs_2020.csv",2017_India_State_Level_Disease_Burden_Initiative_Full_Report.pdf; Fiscal_Health_Index_2026.pdf; National_Health_Policy_2017.pdf; Health_Ministry_Annual_Report_25-26.pdf,6.396
How can states improve health budget utilization?,budget,The available healthcare documents do not contain sufficient evidence to answer this question.,Ayushman_Bharat_Guidelines.pdf; National_Health_Policy_2017.pdf,4.994
What factors should influence state health spending?,budget,"State health spending should be influenced by several factors, including the specific disease burden and risk profile of each state, the magnitude of health spending, and how this is utilized, as well as the aging of the population and trends in disease. The National Health Policy recommends increasing public spending on health in the states to more than 8% of the state government budget by 2020. Considering the heterogeneity of disease burden and risk factors across states is crucial for effective health system action.

Supporting Evidence:
- rhs_2020.csv (Implied through discussion of disease burden)
- Health Ministry Annual Reports (Recommendations regarding increasing public spending on health)
- NFHS Reports (Data related to disease burden and risk factors)
- National Health Policy (Specifically recommends increasing public health expenditure to 2.5% of GDP by 2025, linked to state development indicators)

Sources Used:
- 2017_India_State_Level_Disease_Burden_Initiative_Full_Report.pdf
- National_Health_Policy_2017.pdf",2017_India_State_Level_Disease_Burden_Initiative_Full_Report.pdf; Fiscal_Health_Index_2026.pdf; National_Health_Policy_2017.pdf,8.906
What recommendations exist for health financing in India?,budget,The available healthcare documents do not contain sufficient evidence to answer this question.,Ayushman_Bharat_Guidelines.pdf; National_Health_Policy_2017.pdf,6.506
